date,LG,KT,SSG,NC,두산,KIA,롯데,삼성,한화,키움
20230401,0.000,1.000,1.000,1.000,1.000,0.000,0.000,0.000,0.000,1.000
20230402,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.000,1.000
20230404,0.667,0.500,0.667,0.333,0.667,0.500,0.333,0.667,0.000,0.667
20230405,0.500,0.500,0.667,0.500,0.500,0.500,0.333,0.667,0.000,0.750
20230406,0.600,0.500,0.667,0.400,0.600,0.500,0.333,0.500,0.250,0.600
20230407,0.667,0.667,0.750,0.500,0.667,0.333,0.250,0.400,0.200,0.500
20230408,0.714,0.750,0.800,0.571,0.571,0.500,0.200,0.333,0.167,0.429
20230409,0.750,0.600,0.833,0.625,0.625,0.400,0.333,0.286,0.143,0.375
20230411,0.667,0.500,0.857,0.667,0.667,0.333,0.429,0.250,0.250,0.333
20230412,0.700,0.429,0.875,0.700,0.667,0.429,0.375,0.222,0.222,0.333
20230413,0.636,0.500,0.778,0.636,0.600,0.375,0.444,0.300,0.300,0.400
20230414,0.667,0.500,0.800,0.583,0.545,0.333,0.400,0.364,0.300,0.455
20230415,0.692,0.444,0.727,0.615,0.500,0.300,0.455,0.333,0.364,0.500
20230416,0.643,0.500,0.667,0.643,0.538,0.273,0.417,0.385,0.333,0.538
20230418,0.600,0.545,0.615,0.667,0.571,0.250,0.462,0.429,0.308,0.500
20230419,0.625,0.583,0.571,0.625,0.533,0.308,0.429,0.467,0.357,0.467
20230420,0.647,0.538,0.600,0.588,0.562,0.286,0.467,0.438,0.333,0.500
20230421,0.667,0.500,0.625,0.556,0.588,0.333,0.500,0.412,0.312,0.471
20230422,0.684,0.467,0.647,0.526,0.611,0.375,0.529,0.389,0.294,0.444
20230423,0.650,0.467,0.667,0.500,0.611,0.412,0.556,0.368,0.333,0.421
20230425,0.667,0.438,0.632,0.524,0.611,0.389,0.556,0.368,0.333,0.450
20230426,0.636,0.412,0.650,0.500,0.579,0.421,0.579,0.400,0.316,0.476
20230427,0.652,0.389,0.619,0.478,0.550,0.450,0.600,0.429,0.300,0.500
20230428,0.625,0.368,0.636,0.500,0.524,0.476,0.619,0.455,0.286,0.478
20230429,0.600,0.350,0.652,0.520,0.500,0.500,0.619,0.478,0.273,0.478
20230430,0.577,0.333,0.625,0.538,0.522,0.522,0.636,0.500,0.261,0.458
20230502,0.593,0.364,0.600,0.519,0.542,0.500,0.652,0.480,0.250,0.480
20230503,0.607,0.348,0.615,0.500,0.520,0.520,0.625,0.462,0.280,0.500
20230504,0.607,0.333,0.630,0.500,0.500,0.520,0.625,0.481,0.308,0.481
20230505,0.607,0.333,0.643,0.500,0.500,0.520,0.625,0.481,0.308,0.464
20230506,0.607,0.333,0.655,0.500,0.500,0.520,0.625,0.481,0.308,0.448
20230507,0.621,0.320,0.667,0.500,0.481,0.520,0.625,0.481,0.333,0.433
20230509,0.633,0.308,0.645,0.517,0.500,0.538,0.600,0.500,0.321,0.419
20230510,0.613,0.296,0.656,0.533,0.483,0.519,0.615,0.483,0.345,0.438
20230511,0.625,0.286,0.667,0.548,0.467,0.500,0.630,0.467,0.367,0.424
20230512,0.606,0.310,0.647,0.531,0.484,0.483,0.607,0.484,0.387,0.441
20230513,0.618,0.300,0.657,0.515,0.500,0.467,0.621,0.469,0.375,0.457
20230514,0.629,0.290,0.657,0.529,0.515,0.452,0.633,0.455,0.375,0.444
20230516,0.611,0.312,0.639,0.543,0.529,0.469,0.645,0.441,0.364,0.432
20230517,0.622,0.303,0.649,0.528,0.543,0.485,0.625,0.429,0.382,0.421
20230518,0.632,0.294,0.649,0.528,0.528,0.485,0.636,0.429,0.371,0.436
20230519,0.641,0.314,0.632,0.514,0.514,0.500,0.647,0.444,0.361,0.425
20230520,0.641,0.306,0.641,0.526,0.526,0.514,0.629,0.432,0.361,0.415
20230521,0.650,0.324,0.650,0.513,0.513,0.500,0.611,0.447,0.351,0.429
20230523,0.659,0.316,0.634,0.500,0.525,0.486,0.622,0.436,0.368,0.442
20230524,0.643,0.333,0.643,0.512,0.512,0.500,0.605,0.450,0.359,0.432
20230525,0.651,0.350,0.628,0.500,0.524,0.487,0.615,0.439,0.375,0.422
20230526,0.659,0.366,0.636,0.512,0.512,0.475,0.625,0.429,0.366,0.413
20230527,0.644,0.381,0.636,0.500,0.512,0.488,0.634,0.419,0.381,0.404
20230528,0.652,0.372,0.636,0.500,0.512,0.476,0.619,0.432,0.381,0.417
20230530,0.660,0.364,0.644,0.511,0.500,0.488,0.605,0.422,0.395,0.408
20230531,0.646,0.356,0.630,0.500,0.511,0.500,0.614,0.435,0.386,0.420
20230601,0.653,0.356,0.638,0.500,0.511,0.500,0.600,0.426,0.400,0.412
20230602,0.640,0.348,0.646,0.511,0.522,0.489,0.609,0.438,0.391,0.404
20230603,0.627,0.362,0.653,0.521,0.511,0.478,0.617,0.449,0.383,0.396
20230604,0.615,0.375,0.640,0.531,0.500,0.489,0.604,0.440,0.396,0.407
20230606,0.623,0.388,0.647,0.520,0.510,0.479,0.592,0.451,0.388,0.400
20230607,0.623,0.400,0.654,0.529,0.520,0.469,0.580,0.442,0.380,0.400
20230608,0.611,0.412,0.660,0.538,0.529,0.460,0.569,0.434,0.373,0.411
20230609,0.600,0.423,0.648,0.547,0.519,0.471,0.577,0.426,0.385,0.404
20230610,0.589,0.415,0.636,0.556,0.509,0.481,0.566,0.436,0.396,0.414
20230611,0.596,0.407,0.625,0.564,0.519,0.472,0.556,0.446,0.389,0.424
20230613,0.603,0.400,0.632,0.554,0.527,0.463,0.564,0.439,0.382,0.433
20230614,0.610,0.411,0.621,0.561,0.518,0.455,0.554,0.431,0.393,0.443
20230615,0.617,0.421,0.610,0.569,0.509,0.464,0.544,0.424,0.404,0.435
20230616,0.623,0.431,0.617,0.559,0.500,0.474,0.534,0.417,0.404,0.435
20230617,0.613,0.441,0.623,0.567,0.508,0.466,0.525,0.410,0.397,0.444
20230618,0.619,0.433,0.613,0.567,0.500,0.466,0.533,0.419,0.390,0.453
20230620,0.609,0.443,0.619,0.574,0.492,0.475,0.525,0.413,0.383,0.462
20230621,0.615,0.452,0.625,0.565,0.484,0.467,0.516,0.406,0.393,0.470
20230622,0.621,0.460,0.631,0.556,0.476,0.459,0.508,0.400,0.403,0.478
20230623,0.612,0.469,0.636,0.547,0.484,0.452,0.516,0.394,0.413,0.471
20230624,0.618,0.462,0.642,0.538,0.477,0.460,0.508,0.388,0.422,0.478
20230625,0.623,0.462,0.632,0.538,0.485,0.460,0.500,0.397,0.422,0.471
20230627,0.629,0.455,0.623,0.530,0.493,0.453,0.507,0.391,0.431,0.479
20230628,0.634,0.448,0.614,0.537,0.485,0.446,0.515,0.386,0.439,0.486
20230630,0.639,0.456,0.620,0.529,0.478,0.439,0.522,0.380,0.448,0.479
20230701,0.630,0.464,0.611,0.522,0.486,0.448,0.514,0.375,0.456,0.486
20230702,0.635,0.471,0.616,0.514,0.493,0.441,0.507,0.384,0.449,0.480
20230704,0.635,0.471,0.616,0.507,0.500,0.441,0.507,0.378,0.449,0.487
20230705,0.627,0.479,0.608,0.500,0.507,0.449,0.500,0.373,0.457,0.494
20230706,0.632,0.472,0.600,0.507,0.514,0.457,0.507,0.368,0.451,0.487
20230707,0.632,0.466,0.600,0.507,0.520,0.465,0.507,0.368,0.451,0.481
20230708,0.636,0.459,0.605,0.500,0.526,0.472,0.500,0.377,0.444,0.475
20230709,0.628,0.453,0.597,0.493,0.532,0.479,0.507,0.385,0.452,0.469
20230711,0.628,0.461,0.597,0.493,0.532,0.479,0.507,0.385,0.452,0.463
20230712,0.620,0.468,0.590,0.500,0.538,0.486,0.500,0.380,0.459,0.458
20230713,0.620,0.474,0.590,0.506,0.538,0.480,0.494,0.388,0.459,0.452
20230721,0.613,0.481,0.595,0.513,0.544,0.474,0.500,0.383,0.453,0.447
20230722,0.613,0.475,0.595,0.519,0.544,0.474,0.494,0.390,0.447,0.453
20230723,0.613,0.481,0.595,0.519,0.544,0.474,0.487,0.386,0.447,0.460
20230725,0.605,0.488,0.588,0.525,0.550,0.468,0.481,0.393,0.455,0.455
20230726,0.598,0.494,0.593,0.519,0.543,0.474,0.488,0.388,0.462,0.449
20230727,0.602,0.488,0.585,0.524,0.537,0.468,0.494,0.395,0.456,0.456
20230728,0.607,0.494,0.578,0.518,0.530,0.475,0.488,0.395,0.463,0.456
20230729,0.612,0.500,0.583,0.512,0.524,0.481,0.482,0.402,0.457,0.451
20230730,0.616,0.506,0.588,0.506,0.518,0.488,0.477,0.409,0.451,0.446
20230801,0.621,0.511,0.581,0.512,0.523,0.494,0.471,0.404,0.446,0.441
20230802,0.625,0.517,0.575,0.506,0.529,0.488,0.477,0.411,0.440,0.436
20230803,0.629,0.522,0.568,0.511,0.523,0.494,0.472,0.407,0.447,0.432
20230804,0.622,0.527,0.573,0.517,0.517,0.500,0.467,0.413,0.442,0.427
20230805,0.615,0.522,0.578,0.522,0.522,0.506,0.462,0.419,0.437,0.423
20230806,0.620,0.527,0.571,0.527,0.516,0.506,0.467,0.415,0.437,0.418
20230808,0.620,0.532,0.565,0.533,0.522,0.506,0.473,0.411,0.432,0.414
20230809,0.624,0.537,0.570,0.527,0.516,0.500,0.468,0.417,0.427,0.420
20230810,0.624,0.537,0.570,0.527,0.516,0.500,0.474,0.417,0.427,0.416
20230811,0.628,0.531,0.564,0.532,0.521,0.494,0.479,0.423,0.422,0.412
20230812,0.632,0.536,0.568,0.526,0.516,0.500,0.474,0.418,0.429,0.408
20230813,0.635,0.541,0.573,0.521,0.510,0.495,0.480,0.414,0.435,0.404
20230815,0.629,0.545,0.567,0.521,0.505,0.489,0.485,0.420,0.435,0.410
20230816,0.633,0.550,0.561,0.515,0.500,0.495,0.490,0.416,0.441,0.406
20230817,0.626,0.554,0.556,0.520,0.495,0.500,0.495,0.422,0.436,0.402
20230818,0.630,0.549,0.550,0.520,0.495,0.495,0.490,0.427,0.442,0.407
20230819,0.634,0.553,0.545,0.515,0.500,0.500,0.485,0.423,0.438,0.413
20230820,0.627,0.558,0.549,0.520,0.495,0.495,0.481,0.429,0.433,0.418
20230822,0.627,0.562,0.549,0.520,0.500,0.490,0.481,0.434,0.429,0.414
20230823,0.627,0.562,0.549,0.520,0.505,0.490,0.481,0.434,0.429,0.411
20230824,0.631,0.557,0.553,0.515,0.510,0.495,0.476,0.434,0.429,0.407
20230825,0.625,0.561,0.548,0.520,0.514,0.500,0.472,0.430,0.424,0.412
20230826,0.619,0.565,0.552,0.524,0.509,0.505,0.467,0.435,0.420,0.409
20230827,0.613,0.569,0.557,0.529,0.505,0.510,0.463,0.440,0.416,0.405
20230830,0.613,0.569,0.561,0.529,0.505,0.510,0.463,0.440,0.416,0.402
20230831,0.617,0.573,0.556,0.524,0.500,0.515,0.468,0.436,0.412,0.407
20230901,0.620,0.568,0.550,0.528,0.500,0.519,0.468,0.432,0.408,0.412
20230902,0.615,0.562,0.545,0.533,0.500,0.524,0.468,0.429,0.413,0.417
20230903,0.609,0.558,0.541,0.528,0.505,0.528,0.464,0.434,0.419,0.421
20230904,0.609,0.558,0.541,0.528,0.500,0.528,0.468,0.434,0.419,0.421
20230905,0.613,0.553,0.545,0.532,0.500,0.528,0.473,0.430,0.415,0.418
20230906,0.607,0.557,0.540,0.536,0.495,0.533,0.469,0.435,0.421,0.415
20230907,0.611,0.552,0.535,0.541,0.500,0.528,0.474,0.431,0.426,0.411
20230908,0.614,0.556,0.530,0.545,0.504,0.523,0.470,0.427,0.431,0.408
20230909,0.603,0.556,0.530,0.544,0.504,0.532,0.470,0.429,0.441,0.402
20230910,0.598,0.551,0.534,0.548,0.509,0.536,0.466,0.425,0.446,0.398
20230912,0.598,0.555,0.530,0.552,0.513,0.531,0.462,0.430,0.442,0.398
20230913,0.598,0.558,0.530,0.547,0.513,0.526,0.467,0.430,0.442,0.398
20230914,0.598,0.554,0.525,0.547,0.517,0.526,0.467,0.434,0.442,0.398
20230915,0.602,0.554,0.525,0.551,0.521,0.522,0.471,0.431,0.439,0.395
20230916,0.605,0.554,0.521,0.551,0.521,0.522,0.471,0.431,0.439,0.395
20230917,0.612,0.561,0.512,0.551,0.525,0.517,0.475,0.427,0.431,0.395
20230918,0.612,0.556,0.512,0.551,0.529,0.513,0.475,0.427,0.436,0.395
20230919,0.615,0.560,0.516,0.555,0.525,0.508,0.472,0.424,0.432,0.400
20230921,0.618,0.563,0.512,0.550,0.528,0.504,0.468,0.421,0.437,0.405
20230922,0.613,0.559,0.508,0.554,0.532,0.508,0.472,0.417,0.433,0.409
20230923,0.616,0.562,0.512,0.549,0.536,0.504,0.468,0.417,0.430,0.409
20230924,0.619,0.566,0.508,0.553,0.532,0.500,0.472,0.417,0.426,0.409
20230926,0.619,0.566,0.508,0.548,0.532,0.504,0.472,0.417,0.426,0.409
20230927,0.625,0.557,0.512,0.548,0.528,0.504,0.472,0.419,0.427,0.409
20230928,0.620,0.557,0.508,0.551,0.528,0.500,0.477,0.423,0.424,0.414
20230929,0.615,0.557,0.508,0.551,0.531,0.504,0.481,0.423,0.421,0.410
20230930,0.611,0.557,0.512,0.547,0.535,0.500,0.481,0.427,0.421,0.410
20231001,0.614,0.561,0.515,0.543,0.531,0.496,0.485,0.424,0.425,0.407
20231002,0.617,0.556,0.515,0.538,0.534,0.496,0.477,0.433,0.430,0.404
20231003,0.617,0.552,0.519,0.534,0.530,0.500,0.481,0.430,0.430,0.409
20231004,0.619,0.551,0.523,0.530,0.530,0.500,0.478,0.426,0.434,0.409
20231005,0.622,0.555,0.526,0.526,0.530,0.496,0.474,0.431,0.431,0.409
20231006,0.618,0.551,0.530,0.526,0.530,0.500,0.474,0.435,0.427,0.409
20231007,0.613,0.554,0.526,0.530,0.526,0.500,0.478,0.435,0.424,0.413
20231008,0.613,0.557,0.529,0.526,0.530,0.504,0.474,0.432,0.421,0.413
20231009,0.609,0.557,0.529,0.529,0.530,0.507,0.478,0.429,0.418,0.413
20231010,0.612,0.560,0.533,0.533,0.526,0.504,0.475,0.426,0.415,0.417
20231011,0.612,0.560,0.533,0.533,0.522,0.507,0.479,0.426,0.415,0.414
20231012,0.612,0.560,0.533,0.529,0.526,0.511,0.475,0.426,0.415,0.414
20231013,0.607,0.560,0.536,0.532,0.529,0.507,0.475,0.426,0.415,0.411
20231014,0.603,0.560,0.532,0.532,0.532,0.507,0.472,0.430,0.419,0.411
20231015,0.606,0.560,0.532,0.536,0.529,0.507,0.469,0.427,0.423,0.411
20231016,0.606,0.560,0.536,0.532,0.525,0.511,0.472,0.427,0.420,0.411
20231017,0.606,0.560,0.539,0.528,0.521,0.514,0.472,0.427,0.420,0.411
