games,KIA,삼성,LG,두산,KT,SSG,롯데,한화,NC,키움
1,1,1,1,-1,-1,1,-1,-1,1,-1
2,2,2,0,0,-2,2,-2,0,0,-2
3,3,1,1,1,-3,1,-3,1,1,-3
4,4,1,1,2,-4,0,-4,2,2,-4
5,3,0,2,1,-3,-1,-3,3,1,-3
6,4,-1,3,0,-4,0,-4,4,2,-2
7,3,-2,2,1,-5,1,-5,5,3,-1
8,4,-3,1,0,-6,2,-4,6,4,0
9,5,-4,0,-1,-5,3,-5,5,3,1
10,6,-5,1,-2,-6,4,-6,6,2,2
11,5,-6,2,-3,-7,5,-5,5,3,3
12,4,-5,1,-2,-6,4,-4,4,4,2
13,5,-4,2,-3,-7,3,-5,3,5,1
14,6,-3,3,-4,-8,2,-6,2,4,2
15,7,-2,2,-3,-7,3,-7,1,5,3
16,8,-1,1,-2,-8,4,-8,2,6,4
17,9,-2,0,-3,-9,3,-9,1,7,5
18,10,-3,1,-4,-8,2,-10,0,8,6
19,9,-2,0,-3,-9,3,-11,-1,7,5
20,10,-1,-1,-2,-10,4,-12,0,6,4
21,9,0,0,-3,-11,5,-11,-1,7,3
22,10,1,1,-4,-10,4,-10,0,6,4
23,11,0,0,-5,-9,5,-10,-1,5,3
24,10,1,1,-4,-10,4,-9,-2,6,2
25,11,2,2,-5,-10,3,-10,-3,5,1
26,12,3,2,-4,-11,3,-9,-4,6,0
27,13,4,1,-3,-10,4,-10,-5,5,-1
28,12,3,0,-4,-9,3,-11,-6,6,-2
29,11,4,1,-3,-8,4,-12,-5,7,-3
30,12,5,2,-2,-9,3,-13,-6,8,-2
31,11,6,3,-3,-8,4,-14,-5,9,-1
32,12,5,2,-2,-9,3,-13,-6,8,-2
33,11,6,1,-1,-8,4,-12,-7,7,-3
34,10,7,2,-2,-9,5,-11,-6,8,-4
35,11,6,3,-3,-8,4,-10,-7,9,-5
36,12,5,2,-2,-7,3,-9,-8,8,-6
37,11,4,1,-1,-6,4,-10,-9,7,-7
38,10,5,0,0,-5,3,-11,-8,8,-8
39,11,4,1,1,-4,2,-12,-9,7,-7
40,10,5,2,2,-5,3,-13,-8,6,-8
41,9,6,3,3,-6,2,-12,-8,6,-7
42,10,5,4,4,-7,3,-11,-9,7,-6
43,10,6,5,5,-6,4,-12,-10,8,-7
44,11,7,4,6,-7,3,-12,-11,7,-8
45,12,8,3,5,-8,4,-11,-12,6,-7
46,13,7,4,5,-9,5,-10,-11,5,-8
47,12,6,5,4,-8,4,-9,-10,6,-9
48,11,7,4,5,-7,3,-10,-9,7,-8
49,10,6,3,5,-8,2,-9,-10,6,-9
50,9,7,2,6,-7,1,-8,-9,5,-10
51,10,6,3,7,-6,0,-9,-8,4,-9
52,11,5,4,8,-5,-1,-10,-7,3,-8
53,12,4,5,9,-4,-2,-11,-6,2,-9
54,13,3,6,8,-5,-3,-10,-5,1,-10
55,14,4,7,7,-6,-2,-11,-6,0,-11
56,13,5,8,6,-5,-1,-10,-7,-1,-12
57,14,6,7,7,-6,0,-9,-8,0,-11
58,13,7,8,8,-5,1,-8,-7,-1,-12
59,12,8,9,7,-6,0,-9,-6,-2,-13
60,11,7,10,6,-7,1,-8,-5,-3,-12
61,12,6,9,5,-8,2,-9,-6,-4,-11
62,11,5,10,6,-9,1,-8,-7,-3,-12
63,10,4,11,7,-10,0,-9,-7,-2,-11
64,11,5,12,8,-9,1,-8,-6,-2,-12
65,10,6,13,9,-10,2,-7,-5,-1,-13
66,11,7,12,10,-9,1,-8,-6,-2,-14
67,10,8,11,9,-10,2,-7,-7,-1,-15
68,11,9,10,8,-11,3,-8,-8,-2,-14
69,12,8,9,7,-12,4,-9,-7,-1,-15
70,13,7,10,8,-13,3,-8,-6,0,-16
71,14,6,9,9,-12,4,-9,-5,-1,-15
72,13,7,10,10,-13,3,-10,-6,0,-14
73,14,8,9,9,-12,2,-9,-7,-1,-15
74,15,9,10,10,-11,1,-8,-8,0,-16
75,14,10,9,9,-12,2,-8,-7,-1,-15
76,15,11,8,10,-11,1,-7,-6,0,-14
77,15,10,7,9,-10,0,-6,-7,-1,-13
78,14,9,8,8,-11,1,-5,-6,-2,-12
79,13,10,9,7,-10,0,-6,-7,-3,-11
80,12,9,10,6,-9,-1,-7,-8,-2,-10
81,13,8,9,7,-9,0,-8,-9,-3,-11
82,14,8,8,6,-8,1,-7,-8,-2,-10
83,15,7,9,7,-7,0,-8,-9,-1,-11
84,16,6,8,6,-6,-1,-9,-8,-2,-10
85,17,5,7,5,-7,0,-10,-9,-3,-11
86,18,6,8,6,-6,-1,-9,-8,-2,-12
87,17,7,7,7,-7,0,-8,-9,-1,-13
88,16,8,6,6,-6,1,-9,-10,0,-14
89,17,7,5,7,-5,2,-8,-11,1,-15
90,18,8,4,6,-4,1,-9,-12,0,-16
91,19,7,5,7,-3,0,-10,-13,1,-15
92,20,6,6,6,-2,1,-11,-14,0,-16
93,21,5,7,5,-1,0,-12,-15,-1,-17
94,22,6,8,4,-2,-1,-13,-14,0,-16
95,23,7,9,5,-1,-2,-12,-13,1,-15
96,24,6,10,4,0,-1,-11,-12,0,-14
97,23,5,11,3,1,0,-12,-11,-1,-15
98,22,4,10,4,0,1,-13,-10,-2,-14
99,21,5,9,5,1,2,-12,-9,-1,-15
100,22,4,10,4,0,3,-11,-8,-2,-14
101,21,5,9,3,-1,2,-10,-9,-3,-13
102,20,4,8,2,-2,1,-9,-8,-2,-12
103,19,5,7,1,-1,0,-10,-9,-3,-13
104,18,6,6,2,-2,-1,-9,-8,-4,-14
105,19,7,7,3,-3,0,-8,-7,-5,-13
106,20,8,8,4,-2,1,-7,-8,-6,-14
107,19,7,9,3,-1,0,-8,-9,-7,-13
108,18,8,10,2,0,-1,-7,-10,-8,-12
109,19,7,11,3,-1,-2,-8,-9,-9,-13
110,18,6,10,4,-2,-1,-7,-10,-10,-12
111,19,7,11,3,-3,0,-8,-9,-11,-13
112,18,8,10,4,-4,1,-9,-8,-12,-14
113,19,9,9,5,-3,0,-10,-7,-13,-13
114,20,8,8,4,-4,-1,-9,-6,-12,-14
115,21,9,9,3,-5,-2,-10,-7,-11,-13
116,22,10,8,4,-4,-3,-9,-6,-12,-14
117,23,11,9,5,-5,-2,-10,-5,-11,-15
118,24,12,8,6,-4,-3,-9,-4,-12,-14
119,23,11,9,5,-3,-4,-8,-5,-13,-15
120,24,12,8,4,-2,-5,-7,-4,-12,-14
121,23,11,9,5,-1,-4,-6,-5,-11,-15
122,24,12,8,4,-2,-5,-7,-6,-10,-16
123,25,13,7,3,-3,-6,-6,-5,-9,-17
124,24,14,8,2,-2,-5,-7,-4,-8,-18
125,25,15,7,3,-1,-6,-8,-5,-9,-19
126,26,14,8,4,-2,-7,-8,-4,-10,-20
127,27,13,7,3,-1,-8,-9,-5,-9,-19
128,26,14,6,2,-2,-7,-8,-6,-10,-20
129,27,15,7,1,-1,-7,-7,-7,-11,-21
130,28,16,8,0,0,-6,-8,-8,-12,-22
131,29,15,7,-1,-1,-5,-9,-9,-13,-21
132,30,16,6,0,0,-6,-8,-8,-14,-20
133,31,17,7,-1,1,-5,-7,-9,-13,-21
134,32,18,6,0,2,-4,-6,-10,-14,-20
135,31,17,5,1,1,-3,-7,-9,-13,-21
136,32,16,6,2,0,-2,-8,-10,-14,-22
137,31,15,7,3,1,-1,-9,-9,-15,-23
138,30,16,6,4,0,0,-8,-8,-16,-24
139,31,15,7,3,1,-1,-9,-9,-17,-23
140,32,16,8,2,0,-2,-8,-10,-18,-24
141,31,15,9,3,-1,-1,-9,-9,-19,-25
142,30,14,8,4,0,0,-8,-8,-18,-26
143,31,15,9,5,1,1,-9,-9,-19,-27
144,32,14,10,6,2,2,-8,-10,-20,-28
